Branch_ID|PLU|Class|Burui|DP2|Supplier_Code|SPLU|Description|Normal_Price|Current_Price|Disc_Percent|MinQty4Disc|Point|Constraint_Qty|Constraint_Amt|Constraint_Point|Constraint_Flag|Point_Item_Flag|Point_Spending_Flag|Get_Class_Flag|Flag|Margin|Last_Update|Unit_of_Measure|Article_Code|Long_Description|Brand|Package|Perishable|Store_Type
|BEANR09BB|CBS|MWBSECBS0|SC|000062||SUN-DRIED ETH CHELEK|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANR09BB|SUN-DRIED ETH CHELEKTU SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANR10AA|CBS|MWBSECBS0|SC|000062||RWANDA ABAKUNDAKAWA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR10AA|RWANDA ABAKUNDAKAWA SCOOPNG 50GR|Coffee Bean Scoop|0|0|1
|BEANR10BB|CBS|MWBSECBS0|SC|000062||RWANDA ABAKUNDAKAWA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR10BB|RWANDA ABAKUNDAKAWA SCOOPNG 100GR|Coffee Bean Scoop|0|0|1
|BEANR11AA|CBS|MWBSECBS0|SC|000062||NICARAGUA DIPILTO SC|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR11AA|NICARAGUA DIPILTO SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANR11BB|CBS|MWBSECBS0|SC|000062||NICARAGUA DIPILTO SC|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR11BB|NICARAGUA DIPILTO SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANR12AA|CBS|MWBSECBS0|SC|000062||PAPUA NEW GUINEA KIG|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR12AA|PAPUA NEW GUINEA KIGABAH SCOOPING 50GR|Coffee Bean Scoop|0|0|1
|BEANR12BB|CBS|MWBSECBS0|SC|000062||PAPUA NEW GUINEA KIG|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/01/17 00:00:00.000000000|UNT|BEANR12BB|PAPUA NEW GUINEA KIGABAH SCOOPING 100GR|Coffee Bean Scoop|0|0|1
|BEANR13AA|SCB|MWBSESCB0|SC|000062||LAS LOMAS SCOOPING 5|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/17 00:00:00.000000000|UNT|BEANR13AA|LAS LOMAS SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANR13BB|SCB|MWBSESCB0|SC|000062||LAS LOMAS SCOOPING 1|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANR13BB|LAS LOMAS SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANR14AA|SCB|MWBSESCB0|SC|000062||GUAT SHIQUIMU SCOOPI|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/17 00:00:00.000000000|UNT|BEANR14AA|GUAT SHIQUIMU SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANR14BB|SCB|MWBSESCB0|SC|000062||GUAT SHIQUIMU SCOOPI|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANR14BB|GUAT SHIQUIMU SCOOPING 100|Coffee Bean Scoop|0|0|1
|BEANR15AA|SCB|MWBSESCB0|SC|000062||EL SALVADOR LA PALMA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANR15AA|EL SALVADOR LA PALMA SCOOPING 50G|Coffee Bean Scoop|0|0|1
|BEANR15BB|SCB|MWBSESCB0|SC|000062||EL SALVADOR LA PALMA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/09 00:00:00.000000000|UNT|BEANR15BB|EL SALVADOR LA PALMA SCOOPING 100G|Coffee Bean Scoop|0|0|1
|BEANR17AA|CBS|MWBSECBS0|SC|000062||COSTA RICA JAGUAR HO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANR17AA|COSTA RICA JAGUAR HONEY PROCESS Scooping|Coffee Bean Scoop|0|0|1
|BEANR17BB|CBS|MWBSECBS0|SC|000062||COSTA RICA JAGUAR HO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANR17BB|COSTA RICA JAGUAR HONEY PROCESS Scooping|Coffee Bean Scoop|0|0|1
|BEANR18AA|CBS|MWBSECBS0|SC|000062||RAINSHINE BLEND (Eth|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANR18AA|RAINSHINE BLEND (Ethiopia Kayon Mountain|Coffee Bean Scoop|0|0|1
|BEANR18BB|CBS|MWBSECBS0|SC|000062||RAINSHINE BLEND (Eth|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/08/07 00:00:00.000000000|UNT|BEANR18BB|RAINSHINE BLEND (Ethiopia Kayon Mountain|Coffee Bean Scoop|0|0|1
|BEANR20AA|CBS|MWBSECBS0|SC|000062||COLOMBIA FINCA SCOOP|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANR20AA|COLOMBIA FINCA SCOOPING 50 GR|Coffee Bean Scoop|0|0|1
|BEANR20BB|CBS|MWBSECBS0|SC|000062||COLOMBIA FINCA SCOOP|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANR20BB|COLOMBIA FINCA SCOOPING 100 GR|Coffee Bean Scoop|0|0|1
|BEANR21AA|CBS|MWBSECBS0|SC|000062||KENYA UKAMBANI SCOOP|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANR21AA|KENYA UKAMBANI SCOOPING  50 GR|Coffee Bean Scoop|0|0|1
|BEANR21BB|CBS|MWBSECBS0|SC|000062||KENYA UKAMBANI SCOOP|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/09/08 00:00:00.000000000|UNT|BEANR21BB|KENYA UKAMBANI SCOOPING  100 GR|Coffee Bean Scoop|0|0|1
|BEANS001|SCO|MWBSESCO0|SC|000062||WB SCOOP 50 G SEASON|35000.0|35000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|BEANS001|WB SCOOP 50 G SEASONAL|SCONE|0|0|1
|BEANS002|SCO|MWBSESCO0|SC|000062||WB SCOOP 100G SEASON|70000.0|70000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|BEANS002|WB SCOOP 100G SEASONAL|SCONE|0|0|1
|BEANS01AA|CBS|MWBSECBS0|SC|000062||AGED SUMATRA scoopin|35000.0|60000.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/18 00:00:00.000000000|UNT|BEANS01AA|AGED SUMATRA scooping 50 gr|Coffee Bean Scoop|0|0|1
|BEANS01B|SCO|MWBSESCO0|SC|000062||AGED SUMATRA SCOOPIN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/25 00:00:00.000000000|UNT|BEANS01B|AGED SUMATRA SCOOPING 100 gr|SCONE|0|0|1
|BEANS01BB|CBS|MWBSECBS0|SC|000062||AGED SUMATRA scoopin|70000.0|120000.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|UNT|BEANS01BB|AGED SUMATRA scooping 100 gr|Coffee Bean Scoop|0|0|1
|BEANS02A|SCB|MWBSESCB0|SC|000062||KATI KATI SCOOPING 5|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANS02A|KATI KATI SCOOPING 50 GRAMS|Coffee Bean Scoop|0|0|1
|BEANS02AA|CBS|MWBSECBS0|SC|000062||BALI BATUR scooping|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/12/17 00:00:00.000000000|UNT|BEANS02AA|BALI BATUR scooping 50 gr|Coffee Bean Scoop|0|0|1
|BEANS02B|SCB|MWBSESCB0|SC|000062||BALI BATUR SCOOPING|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/25 00:00:00.000000000|UNT|BEANS02B|BALI BATUR SCOOPING 100 gr|Coffee Bean Scoop|0|0|1
|BEANS02BB|CBS|MWBSECBS0|SC|000062||BALI BATUR scooping|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/02/15 00:00:00.000000000|UNT|BEANS02BB|BALI BATUR scooping 100 gr|Coffee Bean Scoop|0|0|1
|BEANS03A|SCB|MWBSESCB0|SC|||ICED COFFEE SCOOPING|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANS03A|ICED COFFEE SCOOPING 50 GRAMS|Coffee Bean Scoop|0|0|1
|BEANS03AA|CBS|MWBSECBS0|SC|000062||WEST JAVA PREANGER s|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/10/22 00:00:00.000000000|UNT|BEANS03AA|WEST JAVA PREANGER scooping 50 gr|Coffee Bean Scoop|0|0|1
